id,content,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,answers
id,treatment_group,Age: 35-54,Age: 55+,Age: Under 35,Annual Income: $50-99K,Annual Income: HHI $100K or more,Annual Income: Less than $50K,"Banking Hidden Fee Experience: No, never","Banking Hidden Fee Experience: Yes, many times","Banking Hidden Fee Experience: Yes, once or twice",Current Bank: Banking with Chime,Current Bank: Currently with other bank,Current Bank: Unbanked,Education: College,Education: Non-College,Education: Postgrad,Ethnicity: Asian,Ethnicity: Black,Ethnicity: Latinx,Ethnicity: Other,Ethnicity: White,Gender: Female,Gender: Male,Region: Midwest,Region: Northeast,Region: South,Region: West,Social Media Use: TikTok Users,Urbanization: Rural,Urbanization: Suburban,Urbanization: Urban,Please share any reactions or feedback you have on the video.
6196c871a38a2f0029d4559d,#ChimeHasYourBack,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,Hated the video because I couldn’t stand the music.
6196c9c52545cb002736c8d9,Chime - Banking with No Hidden Fees,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,It was boring
6196ca0067efbf002649660b,Chime - Banking with No Hidden Fees,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,It was a very great positive video
6196ca46a38a2f0029d45748,Chime - Banking with No Hidden Fees,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,It passes a direct message 
6196ca86d0549e0020564500,#ChimeHasYourBack,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,Watching the girl dance was fun
6196caad768533003451f5bd,Chime - Banking with No Hidden Fees,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,Chime sucks!
6196cad5768533003451f755,Chime Credit Builder,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,Great ad
6196cb1e67efbf0026496919,#ChimeHasYourBack,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,"It was too long, the dancing had nothing to do with chime. There is nothing said in the video relying on you having to read a bunch of text that is really small and goes away too fast. "
6196cb26768533003451f92c,Chime Credit Builder,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,The video is great for our times
6196cb2dd0549e00205649ee,Chime Credit Builder,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,Just another commercial 
6196cb98d0549e0020564c81,#ChimeHasYourBack,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,She danced pretty good
6196cba6768533003451f9ad,Chime Credit Builder,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,It was a great commercial
6196cbd4768533003451f9f5,#ChimeHasYourBack,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,There is a young lady dancing to some music. 
6196cbd5768533003451fa09,Chime Credit Builder,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,I love chime 
6196cbf1768533003451fad9,Chime Credit Builder,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,I already have a Chime account so I was already privy to most of this information 
6196cc0967efbf0026496dde,Chime Credit Builder,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,Informative 
